asin,date,daily_salesrank
B0B31621RB,2023-01-01,31
B0B31621RB,2023-01-02,29
B0B31621RB,2023-01-03,38
B0B31621RB,2023-01-04,48
B0B31621RB,2023-01-05,52
B0B31621RB,2023-01-06,47
B0B31621RB,2023-01-07,54
B0B31621RB,2023-01-08,56
B0B31621RB,2023-01-09,59
B0B31621RB,2023-01-10,62
B0B31621RB,2023-01-11,60
B0B31621RB,2023-01-12,48
B0B31621RB,2023-01-13,53
B0B31621RB,2023-01-14,49
B0B31621RB,2023-01-15,25
B0B31621RB,2023-01-16,25
B0B31621RB,2023-01-17,18
B0B31621RB,2023-01-18,16
B0B31621RB,2023-01-19,14
B0B31621RB,2023-01-20,7
B0B31621RB,2023-01-21,4
B0B31621RB,2023-01-22,
B0B31621RB,2023-01-23,
B0B31621RB,2023-01-24,4
B0B31621RB,2023-01-25,4
B0B31621RB,2023-01-26,7
B0B31621RB,2023-01-27,7
B0B31621RB,2023-01-28,5
B0B31621RB,2023-01-29,7
B0B31621RB,2023-01-30,9
B0B31621RB,2023-01-31,5
B0B31621RB,2023-02-01,7
B0B31621RB,2023-02-02,6
B0B31621RB,2023-02-03,6
B0B31621RB,2023-02-04,
B0B31621RB,2023-02-05,7
B0B31621RB,2023-02-06,10
B0B31621RB,2023-02-07,10
B0B31621RB,2023-02-08,13
B0B31621RB,2023-02-09,10
B0B31621RB,2023-02-10,13
B0B31621RB,2023-02-11,13
B0B31621RB,2023-02-12,16
B0B31621RB,2023-02-13,19
B0B31621RB,2023-02-14,16
B0B31621RB,2023-02-15,18
B0B31621RB,2023-02-16,14
B0B31621RB,2023-02-17,14
B0B31621RB,2023-02-18,14
B0B31621RB,2023-02-19,16
B0B31621RB,2023-02-20,22
B0B31621RB,2023-02-21,14
B0B31621RB,2023-02-22,11
B0B31621RB,2023-02-23,15
B0B31621RB,2023-02-24,14
B0B31621RB,2023-02-25,10
B0B31621RB,2023-02-26,10
B0B31621RB,2023-02-27,11
B0B31621RB,2023-02-28,6
B0B31621RB,2023-03-01,4
B0B31621RB,2023-03-02,4
B0B31621RB,2023-03-03,8
B0B31621RB,2023-03-04,8
B0B31621RB,2023-03-05,
B0B31621RB,2023-03-06,11
B0B31621RB,2023-03-07,11
B0B31621RB,2023-03-08,10
B0B31621RB,2023-03-09,9
B0B31621RB,2023-03-10,9
B0B31621RB,2023-03-11,10
B0B31621RB,2023-03-12,12
B0B31621RB,2023-03-13,12
B0B31621RB,2023-03-14,11
B0B31621RB,2023-03-15,8
B0B31621RB,2023-03-16,8
B0B31621RB,2023-03-17,8
B0B31621RB,2023-03-18,8
B0B31621RB,2023-03-19,7
B0B31621RB,2023-03-20,6
B0B31621RB,2023-03-21,7
B0B31621RB,2023-03-22,5
B0B31621RB,2023-03-23,4
B0B31621RB,2023-03-24,5
B0B31621RB,2023-03-25,8
B0B31621RB,2023-03-26,9
B0B31621RB,2023-03-27,13
B0B31621RB,2023-03-28,14
B0B31621RB,2023-03-29,9
B0B31621RB,2023-03-30,10
B0B31621RB,2023-03-31,9
B0B31621RB,2023-04-01,10
B0B31621RB,2023-04-02,13
B0B31621RB,2023-04-03,13
B0B31621RB,2023-04-04,12
B0B31621RB,2023-04-05,13
B0B31621RB,2023-04-06,12
B0B31621RB,2023-04-07,9
B0B31621RB,2023-04-08,10
B0B31621RB,2023-04-09,13
B0B31621RB,2023-04-10,12
B0B31621RB,2023-04-11,12
B0B31621RB,2023-04-12,15
B0B31621RB,2023-04-13,18
B0B31621RB,2023-04-14,10
B0B31621RB,2023-04-15,10
B0B31621RB,2023-04-16,14
B0B31621RB,2023-04-17,11
B0B31621RB,2023-04-18,9
B0B31621RB,2023-04-19,8
B0B31621RB,2023-04-20,10
B0B31621RB,2023-04-21,7
B0B31621RB,2023-04-22,7
B0B31621RB,2023-04-23,21
B0B31621RB,2023-04-24,26
B0B31621RB,2023-04-25,25
B0B31621RB,2023-04-26,30
B0B31621RB,2023-04-27,22
B0B31621RB,2023-04-28,23
B0B31621RB,2023-04-29,19
B0B31621RB,2023-04-30,22
B0B31621RB,2023-05-01,13
B0B31621RB,2023-05-02,14
B0B31621RB,2023-05-03,15
B0B31621RB,2023-05-04,15
B0B31621RB,2023-05-05,24
B0B31621RB,2023-05-06,29
B0B31621RB,2023-05-07,25
B0B31621RB,2023-05-08,13
B0B31621RB,2023-05-09,15
